trial,x_seed,noise_seed,noise_snr_db,algorithm,mse,nmse,snr_db,support_overlap,support_exact,success
8,20260719,2030071109,40,GP,4.489019403044549e-06,0.00026547547827747046,35.75975588106487,8,1,1
8,20260719,2030071109,40,MP,5.603775584541103e-06,0.00033140088511461873,34.7964633598946,8,1,1
9,20260720,2030071110,40,OMP,4.769002895516311e-07,3.943289092158829e-05,44.04141382569942,8,1,1
9,20260720,2030071110,40,GOMP,4.769002895516311e-07,3.943289092158829e-05,44.04141382569942,8,1,1
9,20260720,2030071110,40,CoSaMP,4.769002895516388e-07,3.943289092158893e-05,44.04141382569935,8,1,1
9,20260720,2030071110,40,SP,4.769002895516388e-07,3.943289092158893e-05,44.04141382569935,8,1,1
9,20260720,2030071110,40,IHT,4.0938302957665783e-05,0.0033850170998266883,24.704391330817575,8,1,1
9,20260720,2030071110,40,HTP,4.769002895516315e-07,3.9432890921588326e-05,44.04141382569942,8,1,1
9,20260720,2030071110,40,GP,4.0938302957665783e-05,0.0033850170998266883,24.704391330817575,8,1,1
9,20260720,2030071110,40,MP,1.7275997550661993e-06,0.00014284800028479053,38.451258348847354,8,1,1
10,20260721,2030071111,40,OMP,1.9961990592394355e-07,1.144939973100674e-05,49.41217281913187,8,1,1
10,20260721,2030071111,40,GOMP,1.9961990592394355e-07,1.144939973100674e-05,49.41217281913187,8,1,1
10,20260721,2030071111,40,CoSaMP,1.9961990592393413e-07,1.14493997310062e-05,49.41217281913208,8,1,1
10,20260721,2030071111,40,SP,1.9961990592393413e-07,1.14493997310062e-05,49.41217281913208,8,1,1
10,20260721,2030071111,40,IHT,0.0018182212315342864,0.10428590066148523,9.817744037386284,7,0,0
10,20260721,2030071111,40,HTP,1.9961990592393413e-07,1.14493997310062e-05,49.41217281913208,8,1,1
10,20260721,2030071111,40,GP,0.0018182212315342864,0.10428590066148523,9.817744037386284,7,0,0
10,20260721,2030071111,40,MP,5.5329829652904605e-06,0.0003173497822336314,34.984617953640935,8,1,1
11,20260722,2030071112,40,OMP,2.0506351826111738e-07,1.5913771098437667e-05,47.982268930639535,8,1,1
11,20260722,2030071112,40,GOMP,2.0506351826111738e-07,1.5913771098437667e-05,47.982268930639535,8,1,1
11,20260722,2030071112,40,CoSaMP,2.0506351826111698e-07,1.5913771098437636e-05,47.98226893063954,8,1,1
11,20260722,2030071112,40,SP,2.0506351826111698e-07,1.5913771098437636e-05,47.98226893063954,8,1,1
11,20260722,2030071112,40,IHT,2.575714938845724e-07,1.9988605627756518e-05,46.992175004938034,8,1,1
11,20260722,2030071112,40,HTP,2.0506351826111698e-07,1.5913771098437636e-05,47.98226893063954,8,1,1
11,20260722,2030071112,40,GP,2.575714938845724e-07,1.9988605627756518e-05,46.992175004938034,8,1,1
11,20260722,2030071112,40,MP,1.3687342776426772e-06,0.0001062194005725351,39.7379615376206,8,1,1
12,20260723,2030071113,40,OMP,0.016909327421260542,0.759882672002979,1.1925345881824259,4,0,0
12,20260723,2030071113,40,GOMP,0.0053866801657707795,0.24207023825470464,6.1605860236449,6,0,0
12,20260723,2030071113,40,CoSaMP,3.512735103381818e-07,1.5785764092782883e-05,48.01734391709811,8,1,1
12,20260723,2030071113,40,SP,3.512735103381818e-07,1.5785764092782883e-05,48.01734391709811,8,1,1
12,20260723,2030071113,40,IHT,0.011820198993296687,0.5311840128744535,2.7475500447002648,5,0,0
12,20260723,2030071113,40,HTP,3.512735103381818e-07,1.5785764092782883e-05,48.01734391709811,8,1,1
12,20260723,2030071113,40,GP,0.011820198993296687,0.5311840128744535,2.7475500447002648,5,0,0
12,20260723,2030071113,40,MP,0.014980681247489613,0.6732118795248164,1.718482290501126,3,0,0
13,20260724,2030071114,40,OMP,3.686152604926249e-07,2.618832564843859e-05,45.81892267320814,8,1,1
13,20260724,2030071114,40,GOMP,3.6861526049262927e-07,2.61883256484389e-05,45.81892267320809,8,1,1
13,20260724,2030071114,40,CoSaMP,3.6861526049263064e-07,2.6188325648438998e-05,45.81892267320807,8,1,1
13,20260724,2030071114,40,SP,3.6861526049263064e-07,2.6188325648438998e-05,45.81892267320807,8,1,1
13,20260724,2030071114,40,IHT,1.3101751091065203e-06,9.308158421847703e-05,40.31136233770699,8,1,1
13,20260724,2030071114,40,HTP,3.686152604926147e-07,2.6188325648437866e-05,45.818922673208256,8,1,1
13,20260724,2030071114,40,GP,1.3101751091065203e-06,9.308158421847703e-05,40.31136233770699,8,1,1
13,20260724,2030071114,40,MP,2.367451919097923e-06,0.0001681959714079655,37.74184410537175,8,1,1
14,20260725,2030071115,40,OMP,2.53276645978884e-07,1.973617350787215e-05,47.04737045460953,8,1,1
14,20260725,2030071115,40,GOMP,2.53276645978884e-07,1.973617350787215e-05,47.04737045460953,8,1,1
14,20260725,2030071115,40,CoSaMP,2.5327664597888343e-07,1.9736173507872107e-05,47.047370454609535,8,1,1
14,20260725,2030071115,40,SP,2.5327664597888343e-07,1.9736173507872107e-05,47.047370454609535,8,1,1
14,20260725,2030071115,40,IHT,3.739602086716158e-05,0.002914024518469978,25.355067984166055,8,1,1
14,20260725,2030071115,40,HTP,2.5327664597888343e-07,1.9736173507872107e-05,47.047370454609535,8,1,1
14,20260725,2030071115,40,GP,3.739602086716158e-05,0.002914024518469978,25.355067984166055,8,1,1
14,20260725,2030071115,40,MP,2.9148879736473747e-06,0.00022713793678676042,36.437103234589166,8,1,1
15,20260726,2030071116,40,OMP,8.622209413394857e-08,5.602187548809084e-06,52.51642356053427,8,1,1
15,20260726,2030071116,40,GOMP,8.622209413395144e-08,5.60218754880927e-06,52.51642356053412,8,1,1
15,20260726,2030071116,40,CoSaMP,8.62220941339455e-08,5.602187548808885e-06,52.51642356053442,8,1,1
15,20260726,2030071116,40,SP,8.62220941339455e-08,5.602187548808885e-06,52.51642356053442,8,1,1
15,20260726,2030071116,40,IHT,2.9516088240077547e-07,1.9177759910496873e-05,47.172021226776664,8,1,1
15,20260726,2030071116,40,HTP,8.622209413395163e-08,5.602187548809283e-06,52.51642356053411,8,1,1
15,20260726,2030071116,40,GP,2.9516088240077547e-07,1.9177759910496873e-05,47.172021226776664,8,1,1
15,20260726,2030071116,40,MP,4.3132448560962845e-06,0.00028024843133882314,35.52456809643961,8,1,1
16,20260727,2030071117,40,OMP,4.472990053648636e-08,2.6055340608680175e-06,55.841032451414954,8,1,1
16,20260727,2030071117,40,GOMP,4.472990053648961e-08,2.6055340608682064e-06,55.841032451414634,8,1,1
16,20260727,2030071117,40,CoSaMP,4.472990053648528e-08,2.6055340608679544e-06,55.84103245141506,8,1,1
16,20260727,2030071117,40,SP,4.472990053648636e-08,2.6055340608680175e-06,55.841032451414954,8,1,1
16,20260727,2030071117,40,IHT,1.2766017580471924e-06,7.436254771107154e-05,41.28645739423193,8,1,1
16,20260727,2030071117,40,HTP,4.472990053648636e-08,2.6055340608680175e-06,55.841032451414954,8,1,1
16,20260727,2030071117,40,GP,1.2766017580471924e-06,7.436254771107154e-05,41.28645739423193,8,1,1
16,20260727,2030071117,40,MP,3.596019868567207e-06,0.00020946955255282107,36.78879094985406,8,1,1
17,20260728,2030071118,40,OMP,9.968376717986637e-08,7.547768377803892e-06,51.22181435717639,8,1,1
17,20260728,2030071118,40,GOMP,9.968376717986894e-08,7.547768377804086e-06,51.22181435717628,8,1,1
17,20260728,2030071118,40,CoSaMP,9.968376717986894e-08,7.547768377804086e-06,51.22181435717628,8,1,1
17,20260728,2030071118,40,SP,9.968376717986894e-08,7.547768377804086e-06,51.22181435717628,8,1,1
17,20260728,2030071118,40,IHT,1.7128974153361702e-06,0.00012969566973295135,38.87074523857932,8,1,1
17,20260728,2030071118,40,HTP,9.968376717986894e-08,7.547768377804086e-06,51.22181435717628,8,1,1
17,20260728,2030071118,40,GP,1.7128974153361702e-06,0.00012969566973295135,38.87074523857932,8,1,1
17,20260728,2030071118,40,MP,1.9729444033620473e-06,0.00014938568033842227,38.25691030687028,8,1,1
18,20260729,2030071119,40,OMP,1.458076592300171e-07,7.93816802669923e-06,51.00279712647805,8,1,1
18,20260729,2030071119,40,GOMP,1.458076592300171e-07,7.93816802669923e-06,51.00279712647805,8,1,1
18,20260729,2030071119,40,CoSaMP,1.4580765923001726e-07,7.938168026699238e-06,51.00279712647805,8,1,1
18,20260729,2030071119,40,SP,1.4580765923001726e-07,7.938168026699238e-06,51.00279712647805,8,1,1
18,20260729,2030071119,40,IHT,1.4704309673780326e-07,8.005428625868592e-06,50.96615410169911,8,1,1
18,20260729,2030071119,40,HTP,1.4580765923002036e-07,7.938168026699407e-06,51.00279712647796,8,1,1
18,20260729,2030071119,40,GP,1.4704309673780326e-07,8.005428625868592e-06,50.96615410169911,8,1,1
18,20260729,2030071119,40,MP,8.595466890503067e-06,0.00046796074228929444,33.29790578811042,8,1,1
19,20260730,2030071120,40,OMP,1.9540710085096092e-07,1.4239039730778643e-05,48.46519298177117,8,1,1
19,20260730,2030071120,40,GOMP,1.9540710085096108e-07,1.4239039730778655e-05,48.46519298177117,8,1,1
19,20260730,2030071120,40,CoSaMP,1.9540710085096092e-07,1.4239039730778643e-05,48.46519298177117,8,1,1
19,20260730,2030071120,40,SP,1.9540710085096092e-07,1.4239039730778643e-05,48.46519298177117,8,1,1
19,20260730,2030071120,40,IHT,8.63850690914296e-05,0.006294758100306136,22.010209546301095,8,1,1
19,20260730,2030071120,40,HTP,1.9540710085096092e-07,1.4239039730778643e-05,48.46519298177117,8,1,1
19,20260730,2030071120,40,GP,8.63850690914296e-05,0.006294758100306136,22.010209546301095,8,1,1
19,20260730,2030071120,40,MP,6.1621542191411505e-06,0.0004490274835020388,33.47727076439902,8,1,1
20,20260731,2030071121,40,OMP,6.945007342107762e-08,7.0744263047103634e-06,51.50308773160667,8,1,1
20,20260731,2030071121,40,GOMP,6.945007342107792e-08,7.074426304710395e-06,51.50308773160664,8,1,1
20,20260731,2030071121,40,CoSaMP,6.945007342108012e-08,7.074426304710618e-06,51.50308773160651,8,1,1
20,20260731,2030071121,40,SP,6.945007342108012e-08,7.074426304710618e-06,51.50308773160651,8,1,1
20,20260731,2030071121,40,IHT,0.003637645832419619,0.3705432708193396,4.311610692480166,5,0,0
20,20260731,2030071121,40,HTP,0.003627240227250208,0.3694833196443338,4.3240516308766495,5,0,0
20,20260731,2030071121,40,GP,0.003637645832419619,0.3705432708193396,4.311610692480166,5,0,0
20,20260731,2030071121,40,MP,1.5933175262765697e-06,0.00016230087117843268,37.896791490156005,8,1,1
21,20260732,2030071122,40,OMP,4.539414596634162e-07,2.9025005628781543e-05,45.37227687367217,8,1,1
21,20260732,2030071122,40,GOMP,4.5394145966342416e-07,2.902500562878205e-05,45.3722768736721,8,1,1
21,20260732,2030071122,40,CoSaMP,4.5394145966341706e-07,2.9025005628781598e-05,45.37227687367216,8,1,1
21,20260732,2030071122,40,SP,4.5394145966341706e-07,2.9025005628781598e-05,45.37227687367216,8,1,1
21,20260732,2030071122,40,IHT,3.9048170397443287e-07,2.4967390430029768e-05,46.02626847358827,8,1,1
21,20260732,2030071122,40,HTP,4.539414596634257e-07,2.902500562878215e-05,45.37227687367208,8,1,1
21,20260732,2030071122,40,GP,3.9048170397443287e-07,2.4967390430029768e-05,46.02626847358827,8,1,1
21,20260732,2030071122,40,MP,1.760915080502949e-06,0.00011259286640462699,39.484891243980634,8,1,1
22,20260733,2030071123,40,OMP,3.5902483411998397e-07,2.5673207801742566e-05,45.90519863951924,8,1,1
22,20260733,2030071123,40,GOMP,3.5902483411998397e-07,2.5673207801742566e-05,45.90519863951924,8,1,1
22,20260733,2030071123,40,CoSaMP,3.590248341199787e-07,2.567320780174219e-05,45.90519863951931,8,1,1
22,20260733,2030071123,40,SP,3.590248341199787e-07,2.567320780174219e-05,45.90519863951931,8,1,1
22,20260733,2030071123,40,IHT,4.7474810761577305e-06,0.00033948366970710793,34.69181111889124,8,1,1
22,20260733,2030071123,40,HTP,3.590248341199787e-07,2.567320780174219e-05,45.90519863951931,8,1,1
22,20260733,2030071123,40,GP,4.7474810761577305e-06,0.00033948366970710793,34.69181111889124,8,1,1
22,20260733,2030071123,40,MP,2.435849416121426e-06,0.0001741831268779014,37.5899391740376,8,1,1
23,20260734,2030071124,40,OMP,5.1637510059349956e-08,3.19496605006091e-06,54.9553375232547,8,1,1
